"IP";"OS"
"10.117.97.175";"Cisco IOS XR 5.1.2|Cisco IOS XR 4.1.1|Cisco CRS-1 router (IOS XR 3.4.1 - 3.6.2)|Cisco 877 router (IOS 12.4)|Cisco ASR 9010 router|Huawei CloudEngine CE6800 switch|Huawei S9300 switch|Huawei VRP 5.160|Cisco 1841 router (IOS 12)|Cisco 1841 router (IOS 12.4)"

"10.117.97.178";"Cisco Nexus switch (NX-OS 5)|Cisco Nexus 7000 switch (NX-OS 4.2(4))|Linux 2.6.24|Cisco Nexus 7000-series switch (NX-OS 6.1(2))|APC Smart-UPS (AOS 5.1.1)|Oki B930 printer|Cisco Nexus 5000 switch|3Com SuperStack 3 Switch 3870|Lexmark 1400-series printer|Cisco Nexus switch (NX-OS 6.2)"

"10.117.97.179";"Cisco Aironet 1141N (IOS 12.4) or 3602I (IOS 15.3) WAP|Cisco Aironet 2600-series WAP (IOS 15.2(2))"

"10.117.97.180";"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)|Juniper Networks ERX-700 router|3Com SuperStack 3 Switch 3870|Dell PowerConnect 3248 switch|Foundry EdgeIron switch|SMC SMC6750L2 or SMC7724M/VSW switch|Enterasys Matrix N7 switch|Epson Stylus Pro 400 printer|3Com SuperStack 3 Switch 3812|SMC TigerStack III 6824M switch"

"10.117.97.181";"Juniper EX2200 switch (JUNOS 12)|Juniper Networks J2320 or MX5-T router; or EX2200, EX3200, EX4200, or EX8200 switch (JUNOS 8.5 - 11.2)"

"10.117.97.182";"Juniper Networks J2320 or MX5-T router; or EX2200, EX3200, EX4200, or EX8200 switch (JUNOS 8.5 - 11.2)"

"10.117.97.183";"Alcatel-Lucent 7750 Service Router (SR OS 9.0.R9)|Juniper Networks ERX-700 router|3Com SuperStack 3 Switch 3870|Dell PowerConnect 3248 switch|Foundry EdgeIron switch|SMC SMC6750L2 or SMC7724M/VSW switch|Enterasys Matrix N7 switch|Epson Stylus Pro 400 printer|3Com SuperStack 3 Switch 3812|SMC TigerStack III 6824M switch"

